name,mnemonic,"1. Higher managerial, administrative and professional occupations","2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,Not classified
Poole,E06000029,11226,23521,15001,11199,8055,16115,10969,3309,6996
South Gloucestershire,E06000025,23187,42163,30527,16894,14300,27122,18843,5091,14341
Swindon,E06000030,16176,31852,22601,11587,12543,24721,19176,6393,9031
Torbay,E06000027,6093,18435,11429,12892,7354,16209,11980,4272,5336
Wiltshire,E06000054,42469,80793,46337,36001,24762,46224,34202,9491,19316
East Devon,E07000040,9510,21449,12755,13712,6482,13554,8430,2194,4696
Exeter,E07000041,8866,17139,11469,6337,5514,12179,8939,2816,16285
Mid Devon,E07000042,5238,11930,6742,8701,4018,8416,6250,1653,2899
North Devon,E07000043,4909,13933,7526,10840,5458,11080,8142,1998,3621
South Hams,E07000044,7390,15041,6835,10247,3824,7575,4819,1532,3354
Teignbridge,E07000045,8721,20554,11200,12243,6491,13593,9174,2653,4842
Torridge,E07000046,3044,8889,4951,8277,3720,8106,5588,1687,2248
West Devon,E07000047,4244,8624,4239,6608,2753,5535,3639,1213,2086
Christchurch,E07000048,3342,7559,4898,4072,2346,4942,2851,834,1801
East Dorset,E07000049,7615,15047,9151,7729,3946,8051,4949,1353,3206
North Dorset,E07000050,4792,11077,6141,6967,3692,6656,5765,1269,2781
Purbeck,E07000051,3088,7337,4358,4174,2752,4829,3407,810,1624
West Dorset,E07000052,7642,17054,8244,10400,5018,9793,6543,1782,3883
Weymouth and Portland,E07000053,3619,10089,6222,5063,4283,7987,5904,2099,2605
Cheltenham,E07000078,11087,21074,11545,7273,4893,10997,7044,2887,9290
Cotswold,E07000079,8037,14490,6602,8679,3951,7697,5247,1380,3992
Forest of Dean,E07000080,5354,11931,7229,7769,4714,9529,7279,2404,4132
Gloucester,E07000081,7255,17906,13228,6395,6997,15441,10745,4452,6523
Stroud,E07000082,10449,19647,9642,9506,5800,11692,8122,2237,4860
Tewkesbury,E07000083,7312,14386,9095,6268,4324,8345,5250,1579,3126
Mendip,E07000187,7564,17317,8713,10692,5937,12059,8791,2376,5204
Sedgemoor,E07000188,6895,16072,9668,10039,6481,14449,11250,3146,4903
South Somerset,E07000189,11375,24272,13988,14080,10343,19171,13436,3151,5974
Taunton Deane,E07000190,7718,18184,10987,8365,5412,12410,8036,2477,5332
West Somerset,E07000191,1842,5116,2593,4479,1943,4206,2846,736,1157
Anglesey,W06000001,4159,10193,5618,6067,4521,8283,5888,2659,3430
Gwynedd,W06000002,6293,17427,8516,11879,6634,13287,9744,3732,11401
Conwy,W06000003,6156,17573,9168,10596,6307,13638,9198,3784,5486
Denbighshire,W06000004,4921,14155,7722,7869,5313,11262,8194,3370,4870
Flintshire,W06000005,9092,22378,14203,9339,11929,19260,14659,4269,7196
Wrexham,W06000006,7132,18703,11526,8113,9182,17983,13843,4763,7446
Powys,W06000023,7442,19905,10129,17677,7197,14669,10443,3190,5417
Ceredigion,W06000008,4621,10464,4993,9175,3418,6973,4672,1794,11295
Pembrokeshire,W06000009,5601,17494,9089,13174,7886,14888,10667,4133,5117
Carmarthenshire,W06000010,9108,26462,15416,16708,10152,22210,17291,6522,9061
Swansea,W06000011,13999,34683,23325,12512,12994,26584,20430,9218,23226
Neath Port Talbot,W06000012,5633,18379,13066,7057,10217,18575,17361,6227,6471
Bridgend,W06000013,7390,20376,12199,7819,9430,17985,15400,5839,6367
The Vale of Glamorgan,W06000014,10219,21869,12788,8018,6820,13051,8456,4249,6346
Cardiff,W06000015,29518,53831,32146,16300,14761,31278,22606,16801,43027
"Rhondda, Cynon, Taff",W06000016,10319,30138,20609,13026,14598,29645,27597,11187,14928
Merthyr Tydfil,W06000024,2144,7213,5136,2947,3824,7933,7795,3315,3070
